revGrowth,EPS,GrossMargin,Class
440.1,-2970,235.9,1
8.4,1055,191.6,1
49.7,5080,195.2,1
-259.9,-480,447.1,1
176.8,1640,110,0
83.7,980,340.6,1
208,3090,795.4,1
34.8,1010,383.7,0
46.2,2690,463.4,0
4.6,-220,492.7,0
27.4,1070,363.4,0
318.5,1580,967.9,1
300,470,359.1,0
-0.8,5530,525.4,0
45.8,-1160,720.2,0
24.1,1480,544.4,0
-15.6,680,320.5,0
-106.1,5380,385.8,0
36.6,3340,195.4,0
-23.6,4850,381,1
152.4,1850,141.5,0
56.7,4590,375.5,0
45.7,370,338.7,1
52.6,2040,425.1,0
413.5,2170,209.1,0
19.6,-2574.4,314.5,0
-45.6,410,402.1,0
202.8,3170,352.5,1
110.6,600,388,0
-3.9,2180,261.1,0
111.9,710,402.7,1
21,2330,192.3,0
-27.9,-1230,456.3,1
50.3,4270,1000,1
61.9,7300,276.1,1
220.6,660,322.2,1
-12.3,3080,417.2,1
47.8,3240,602.9,1
90.8,3570,156.4,0
500,-6440,131.5,1
106.3,2960,298.3,1
122.5,3357.6,383,0
278.3,590,351.2,0
59.3,800,551,1
166.4,198.6,218.9,1
-67.4,-2340,434.1,1
87.5,3360,133.4,1
638.1,4690,636.4,1
225.4,1980,297.9,1
78.8,2050,617.3,0
50.8,20600,427.2,0
71.2,190,512.1,0
52.4,1970,280.5,1
88.7,3890,255.8,0
85.3,2890,388.4,0
116.8,2890,211.5,0
14.3,880,403.6,0
-26.3,1000,184.7,0
123,1510,354.7,1
177.6,1630,714.3,0
637.5,-2770,524.5,0
-94.8,-520,120.1,0
33.5,3770,383,0
450,2190,464.4,1
45.2,70,803.3,1
-33.8,-1550,58,1
60,-490,283.5,0
52.4,210,403.5,1
55.2,2260,222.4,0
28.7,1380,323.4,1
566.8,2090,249.4,1
-8.9,7100,368.8,0
147,2200,131.1,0
-24.1,2350,371.2,0
7.5,1390,535.7,1
-56.5,570,392.7,1
-204,-2340,226.1,0
483.1,280,327.3,0
72.7,8550,578.5,0
104.1,1270,458.7,0
89.8,4640,299.4,0
-19.7,660,170.9,0
-46,1830,370.2,0
85.2,7460,514,1
55.7,3900,391.8,0
-24.5,4280,660.8,0
112.2,1250,204.5,1
65.5,1040,342.2,0
123.1,260,128.2,0
-46.5,5290,33.3,0
-20.8,1660,375.5,0
119.4,790,207.6,1
-24.9,130,1000,0
90.9,990,748.1,0
18.2,180,258,0
186,6860,294.5,0
-6,1710,440.3,0
173.9,820,225.7,1
66.9,530,154.9,1
50.9,2840,151.9,1
49.6,2560,157,1
40.6,2740,363,0
1354.3,1370,268.2,1
278,14350,272.1,0
48.8,1670,787.4,1
148.3,12360,517.3,1
320.9,-350,611.4,0
596.8,3990,210.1,0
21,380,293.7,0
151.6,-430,347.4,0
562.8,1410,208.5,0
75.3,-1660,281.7,0
110.6,1780,231.6,0
-39.6,-350,407.8,0
80.2,2500,286.4,1
246.6,1970,454.6,1
2,1611.3,256.8,0
95.7,1320,269.9,0
396.7,2010,159.9,0
49.8,-210,180.3,1
96.2,1790,211.8,0
463.8,-480,402.6,1
147.9,370,186.4,0
124.6,750,307.8,1
87.7,690,209,1
66.4,2630,270.1,1
143.2,-420,266,0
82.1,1540,361.4,0
153.6,180,769.1,1
422.3,-1860,421.5,1
354.7,1770,515.4,0
16.1,830,555.3,0
-8.9,1450,550.4,0
110.1,1090,231.8,1
52.4,3700,166.1,0
-55.9,330,67.4,0
47.2,2320,399.2,0
92,8390,84.2,1
44.1,-1230,145.7,1
73.8,2750,161.2,0
48,4870,305.8,0
40,1860,148.5,0
68.8,470,259,0
54.8,1440,153.3,1
159.2,3369,233.1,1
114.3,3820,145.7,0
114.6,51250,188.5,0
366.7,3620,547.9,1
213.2,1790,384.8,1
29.9,380,536.6,0
22.7,1920,572.7,0
32,2210,181,0
254.3,600,512.2,1
80.4,1475,279.1,1
986.8,-100,435.2,0
59.1,-2870,587.5,0
4.5,1560,191.3,0
213.5,7340,315.3,1
194.5,3650,214,0
380,2610,472.1,1
775.6,-2123.5,64,1
46,2110,455.6,0
-1.8,2540,613.9,0
68.2,-400,304.1,1
95.9,960,950.7,0
116,-550,416.6,0
242.7,46300,898.4,1
115.5,2030,333.3,0
172.5,2600,214.1,1
126.7,2290,225.6,0
34.8,1330,293.1,0
22.1,1880,490.1,1
130.9,2500,382.2,0
-15.9,1310,391.3,0
35.8,32160,520.8,1
66.1,11183.5,190.4,1
345.6,5310,152.7,1
28.3,240,417.4,0
263.7,-4690,217.6,0
14.8,5550,674.8,0
492.9,-780,273,0
-14.5,2470,454.5,0
189.8,3170,149.7,0
46.5,1750,312.7,0
93.4,655,435.5,0
-930.8,-410,810.8,0
-467.1,1490,636.9,0
3.6,3410,442.5,0
-20.9,8100,64.7,0
122.5,840,229.4,0
135.8,1720,384.8,1
174.3,-480,359.1,0
437.5,70,623.1,0
-96.6,905,554.8,0
111.9,520,675.3,1
236.6,1280,161.1,1
-98,90,588.2,1
256.8,2100,703.1,1
143.2,350,696.5,0
136.8,1330,180,0
27.2,840,392.6,0
67.5,2250,364.6,0
192.5,350,318.6,1
217.9,410,328.9,0
-100,669.8,652.5,1
2.3,21400,1000,0
-62.6,-2450,314.3,0
5.1,-30,460.7,0
